EntityName,EntityID,Time,LocationName,LocationID
Operator 1,4,481,CentralBuffer_Location,0
Operator 2,5,481,CentralBuffer_Location,0
Manual worker 1,7,481,CentralBuffer_Location,0
Manual worker 2,8,481,CentralBuffer_Location,0
Operator 1,4,482,CentralBuffer_Location,0
Operator 2,5,482,CentralBuffer_Location,0
Manual worker 1,7,482,CentralBuffer_Location,0
Manual worker 2,8,482,CentralBuffer_Location,0
Operator 1,4,483,BW_(BKW_01)_Location,13
Operator 2,5,483,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Manual worker 1,7,483,BW_(BKW_01)_Location,13
Manual worker 2,8,483,BW_(BKW_01)_Location,13
Operator 1,4,485,BW_(BKW_01)_Location,13
Operator 2,5,485,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Manual worker 1,7,485,BW_(BKW_01)_Location,13
Manual worker 2,8,485,BW_(BKW_01)_Location,13
Operator 2,5,486,BW_(BKW_01)_Location,13
Manual worker 1,7,486,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 1,4,486,CentralBuffer_Location,0
Manual worker 2,8,486,CentralBuffer_Location,0
Operator 2,5,487,CentralBuffer_Location,0
Manual worker 1,7,487,CentralBuffer_Location,0
Operator 1,4,487,CentralBuffer_Location,0
Manual worker 2,8,487,CentralBuffer_Location,0
Operator 2,5,488,CentralBuffer_Location,0
Manual worker 1,7,488,CentralBuffer_Location,0
Operator 1,4,488,M3-02_(FR3_02)_Location,2
Manual worker 2,8,488,M4-02_(FR4_02)_Location,4
Operator 2,5,489,BW_(BKW_01)_Location,13
Manual worker 1,7,489,BW_(BKW_01)_Location,13
Operator 1,4,490,M3-02_(FR3_02)_Location,2
Manual worker 2,8,490,M4-02_(FR4_02)_Location,4
Operator 2,5,491,BW_(BKW_01)_Location,13
Manual worker 1,7,491,BW_(BKW_01)_Location,13
Operator 1,4,491,M4-02_(FR4_02)_Location,4
Manual worker 2,8,491,BW_(BKW_01)_Location,13
Operator 2,5,492,CentralBuffer_Location,0
Manual worker 1,7,492,CentralBuffer_Location,0
Operator 1,4,492,CentralBuffer_Location,0
Manual worker 2,8,492,CentralBuffer_Location,0
Operator 2,5,493,CentralBuffer_Location,0
Manual worker 1,7,493,CentralBuffer_Location,0
Operator 1,4,493,CentralBuffer_Location,0
Manual worker 2,8,493,CentralBuffer_Location,0
Operator 2,5,494,M5-01_(FR5_01)_Location,6
Manual worker 1,7,494,M3-01_(FR3_01)_Location,1
Operator 1,4,494,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Manual worker 2,8,494,BW_(BKW_01)_Location,13
Operator 1,4,496,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 2,5,496,M5-01_(FR5_01)_Location,6
Manual worker 1,7,496,M3-01_(FR3_01)_Location,1
Manual worker 2,8,496,BW_(BKW_01)_Location,13
Operator 1,4,497,M5-01_(FR5_01)_Location,6
Operator 2,5,497,M3-01_(FR3_01)_Location,1
Manual worker 1,7,497,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Manual worker 2,8,497,CentralBuffer_Location,0
Operator 1,4,498,CentralBuffer_Location,0
Operator 2,5,498,CentralBuffer_Location,0
Manual worker 1,7,498,CentralBuffer_Location,0
Manual worker 2,8,498,CentralBuffer_Location,0
Operator 1,4,499,CentralBuffer_Location,0
Operator 2,5,499,CentralBuffer_Location,0
Manual worker 1,7,499,CentralBuffer_Location,0
Manual worker 2,8,499,M3-01_(FR3_01)_Location,1
Operator 1,4,500,VF2SS_(M3-03)_Location,5
Operator 2,5,500,M5-02_(FR5_02)_Location,7
Manual worker 1,7,500,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Manual worker 2,8,501,M3-01_(FR3_01)_Location,1
Operator 1,4,502,VF2SS_(M3-03)_Location,5
Operator 2,5,502,M5-02_(FR5_02)_Location,7
Manual worker 1,7,502,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
