EntityName,EntityID,Time,LocationName,LocationID
Operator 1,4,481,CentralBuffer_Location,0
Operator 1,4,482,CentralBuffer_Location,0
Operator 2,5,483,CentralBuffer_Location,0
Operator 1,4,483,BW_(BKW_01)_Location,13
Operator 2,5,484,CentralBuffer_Location,0
Manual worker 1,7,485,CentralBuffer_Location,0
Operator 2,5,485,BW_(BKW_01)_Location,13
Operator 1,4,486,BW_(BKW_01)_Location,13
Manual worker 1,7,486,CentralBuffer_Location,0
Manual worker 2,8,487,CentralBuffer_Location,0
Manual worker 1,7,487,VF2SS_(M3-03)_Location,5
Operator 1,4,488,BW_(BKW_01)_Location,13
Manual worker 2,8,488,CentralBuffer_Location,0
Operator 2,5,489,BW_(BKW_01)_Location,13
Manual worker 2,8,489,M3-02_(FR3_02)_Location,2
Operator 2,5,490,CentralBuffer_Location,0
Operator 2,5,491,CentralBuffer_Location,0
Operator 1,4,492,BW_(BKW_01)_Location,13
Operator 2,5,492,UMC750_(M5-03)_Location,8
Operator 1,4,493,CentralBuffer_Location,0
Operator 1,4,494,CentralBuffer_Location,0
Operator 1,4,495,BW_(BKW_01)_Location,13
Operator 1,4,497,BW_(BKW_01)_Location,13
Operator 1,4,498,CentralBuffer_Location,0
Operator 1,4,499,CentralBuffer_Location,0
Operator 1,4,500,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 1,4,502,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 1,4,503,CentralBuffer_Location,0
Operator 1,4,504,CentralBuffer_Location,0
Operator 1,4,505,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 1,4,507,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 1,4,509,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 1,4,510,CentralBuffer_Location,0
Operator 1,4,511,CentralBuffer_Location,0
Operator 1,4,512,BW_(BKW_01)_Location,13
Operator 1,4,514,BW_(BKW_01)_Location,13
Operator 1,4,515,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 1,4,517,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Manual worker 1,7,519,VF2SS_(M3-03)_Location,5
Operator 1,4,519,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 1,4,520,BW_(BKW_01)_Location,13
Manual worker 1,7,521,VF2SS_(M3-03)_Location,5
Operator 1,4,521,CentralBuffer_Location,0
Manual worker 1,7,522,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 1,4,522,CentralBuffer_Location,0
Operator 2,5,523,UMC750_(M5-03)_Location,8
Operator 1,4,523,M3-01_(FR3_01)_Location,1
Manual worker 1,7,524,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 1,4,525,M3-01_(FR3_01)_Location,1
Operator 2,5,525,UMC750_(M5-03)_Location,8
Operator 1,4,526,CentralBuffer_Location,0
Operator 1,4,527,CentralBuffer_Location,0
Operator 1,4,528,CentralBuffer_Location,0
Operator 1,4,530,CentralBuffer_Location,0
Manual worker 2,8,550,M3-02_(FR3_02)_Location,2
Manual worker 2,8,552,M3-02_(FR3_02)_Location,2
Manual worker 2,8,553,CentralBuffer_Location,0
Manual worker 2,8,554,CentralBuffer_Location,0
Manual worker 2,8,555,CentralBuffer_Location,0
Manual worker 2,8,557,CentralBuffer_Location,0
